68719476844,IDENTIFIER,-1,,require,0,"(""./context/role-aliases/role-aliases.module""):<member>(RoleAliasesModule);(""@nestjs/common""):<member>(Module);(""@nestjs/common""):<member>(MiddlewareConsumer);(""./shared/infrastructure/logger/pinoLoggerOptions""):<member>(pinoOptions);(""@nestjs/common""):<member>(NestModule);(""@nestjs/typeorm""):<member>(TypeOrmModule);(""./shared/middleware/correlation-id/correlation-id.middleware""):<member>(CorrelationIdMiddleware);(""./shared/infrastructure/persistance/postgre-sql/PostgresDataSource""):<member>(appPostgresDataSource);(""./context/users/users.module""):<member>(UsersModule);(""nestjs-pino""):<member>(LoggerModule)",8,require,,,1,,ANY
68719476845,IDENTIFIER,0,,this,0,src/app.module.ts::program,8,this,,,2,,src/app.module.ts::program
68719476846,IDENTIFIER,1,,UsersModule,0,src/context/users/users.module.ts::program:UsersModule;UsersModule,9,UsersModule,,,1,,ANY
68719476847,IDENTIFIER,-1,,require,0,"(""./context/role-aliases/role-aliases.module""):<member>(RoleAliasesModule);(""@nestjs/common""):<member>(Module);(""@nestjs/common""):<member>(MiddlewareConsumer);(""./shared/infrastructure/logger/pinoLoggerOptions""):<member>(pinoOptions);(""@nestjs/common""):<member>(NestModule);(""@nestjs/typeorm""):<member>(TypeOrmModule);(""./shared/middleware/correlation-id/correlation-id.middleware""):<member>(CorrelationIdMiddleware);(""./shared/infrastructure/persistance/postgre-sql/PostgresDataSource""):<member>(appPostgresDataSource);(""./context/users/users.module""):<member>(UsersModule);(""nestjs-pino""):<member>(LoggerModule)",9,require,,,1,,ANY
68719476848,IDENTIFIER,0,,this,0,src/app.module.ts::program,9,this,,,2,,src/app.module.ts::program
68719476849,IDENTIFIER,1,,RolesModule,0,src/context/roles/roles.module.ts::program:RolesModule;RolesModule,10,RolesModule,,,1,,ANY
68719476850,IDENTIFIER,-1,,require,0,"(""./context/role-aliases/role-aliases.module""):<member>(RoleAliasesModule);(""@nestjs/common""):<member>(Module);(""@nestjs/common""):<member>(MiddlewareConsumer);(""./shared/infrastructure/logger/pinoLoggerOptions""):<member>(pinoOptions);(""@nestjs/common""):<member>(NestModule);(""@nestjs/typeorm""):<member>(TypeOrmModule);(""./shared/middleware/correlation-id/correlation-id.middleware""):<member>(CorrelationIdMiddleware);(""./shared/infrastructure/persistance/postgre-sql/PostgresDataSource""):<member>(appPostgresDataSource);(""./context/users/users.module""):<member>(UsersModule);(""nestjs-pino""):<member>(LoggerModule)",10,require,,,1,,ANY
68719476851,IDENTIFIER,0,,this,0,src/app.module.ts::program,10,this,,,2,,src/app.module.ts::program
68719476852,IDENTIFIER,1,,RoleAliasesModule,0,src/context/role-aliases/role-aliases.module.ts::program:RoleAliasesModule;RoleAliasesModule,11,RoleAliasesModule,,,1,,ANY
68719476853,IDENTIFIER,-1,,require,0,"(""./context/role-aliases/role-aliases.module""):<member>(RoleAliasesModule);(""@nestjs/common""):<member>(Module);(""@nestjs/common""):<member>(MiddlewareConsumer);(""./shared/infrastructure/logger/pinoLoggerOptions""):<member>(pinoOptions);(""@nestjs/common""):<member>(NestModule);(""@nestjs/typeorm""):<member>(TypeOrmModule);(""./shared/middleware/correlation-id/correlation-id.middleware""):<member>(CorrelationIdMiddleware);(""./shared/infrastructure/persistance/postgre-sql/PostgresDataSource""):<member>(appPostgresDataSource);(""./context/users/users.module""):<member>(UsersModule);(""nestjs-pino""):<member>(LoggerModule)",11,require,,,1,,ANY
68719476854,IDENTIFIER,0,,this,0,src/app.module.ts::program,11,this,,,2,,src/app.module.ts::program
68719476855,IDENTIFIER,1,,UserRoleByTenantsModule,0,src/context/user-role-by-tenants/user-role-by-tenants.module.ts::program:UserRoleByTenantsModule;UserRoleByTenantsModule,12,UserRoleByTenantsModule,,,1,,ANY
